timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-07-21T00:00:00.000Z";"2025-07-21T23:59:59.999Z";"2025-07-21T14:48:00.000Z";"2025-07-21T01:40:00.000Z";"2781";3758.92057684;3856.7670768934;3705.3538614511;3763.3712526998;42611467662.53;454224062360.47;"2025-07-21T23:59:59.999Z"
"2025-07-20T00:00:00.000Z";"2025-07-20T23:59:59.999Z";"2025-07-20T16:52:00.000Z";"2025-07-20T00:31:00.000Z";"2781";3595.2404885739;3819.3987823385;3582.3495245631;3759.4714417888;44600451065.6;453746661969.02;"2025-07-20T23:59:59.999Z"
"2025-07-19T00:00:00.000Z";"2025-07-19T23:59:59.999Z";"2025-07-19T04:13:00.000Z";"2025-07-19T01:06:00.000Z";"2781";3548.9259966784;3608.2757297644;3512.9730952921;3595.2736693016;26031719745.61;433988959534.48;"2025-07-19T23:59:59.999Z"
"2025-07-18T00:00:00.000Z";"2025-07-18T23:59:59.999Z";"2025-07-18T06:00:00.000Z";"2025-07-18T00:14:00.000Z";"2781";3476.1239217243;3674.8552979649;3463.386221079;3549.0162446281;59198465810.11;428403375359.26;"2025-07-18T23:59:59.999Z"
"2025-07-17T00:00:00.000Z";"2025-07-17T23:59:59.999Z";"2025-07-17T23:20:00.000Z";"2025-07-17T01:51:00.000Z";"2781";3371.5067228454;3521.6854072605;3315.9989356472;3476.784397665;47532846792.64;419615180093.23;"2025-07-17T23:59:59.999Z"
"2025-07-16T00:00:00.000Z";"2025-07-16T23:59:59.999Z";"2025-07-16T20:25:00.000Z";"2025-07-16T04:16:00.000Z";"2781";3139.8897178037;3422.6030095746;3102.4778428906;3371.5067228454;46771354460.72;406988666859.61;"2025-07-16T23:59:59.999Z"
"2025-07-15T00:00:00.000Z";"2025-07-15T23:59:59.999Z";"2025-07-15T23:59:00.000Z";"2025-07-15T03:17:00.000Z";"2781";3013.2935772868;3142.4272221797;2934.3712335532;3139.8897178037;39013656111.94;379030219975.84;"2025-07-15T23:59:59.999Z"
"2025-07-14T00:00:00.000Z";"2025-07-14T23:59:59.999Z";"2025-07-14T11:12:00.000Z";"2025-07-14T01:32:00.000Z";"2781";2973.2251481336;3079.9855110516;2965.3237904037;3013.3508592513;36349290556.46;363749649349.02;"2025-07-14T23:59:59.999Z"
"2025-07-13T00:00:00.000Z";"2025-07-13T23:59:59.999Z";"2025-07-13T14:21:00.000Z";"2025-07-13T00:11:00.000Z";"2781";2942.8535792374;3016.3934648688;2938.7365409779;2973.3589886215;17361753131.37;358913143072.06;"2025-07-13T23:59:59.999Z"
"2025-07-12T00:00:00.000Z";"2025-07-12T23:59:59.999Z";"2025-07-12T10:48:00.000Z";"2025-07-12T15:55:00.000Z";"2781";2958.3337738103;2979.7799321359;2907.193557289;2942.9116629289;16317198253.87;355247159427.4;"2025-07-12T23:59:59.999Z"
