Reported,BTC Acquisitions,"Avg BTC
Cost",Acquisition Cost ($M),"BTC
Holdings"
7/21/2025,"6,220.00","118,940.00",740.00,"607,770.00"
7/14/2025,"4,225.00","111,827.00",472.00,"601,550.00"
6/30/2025,"4,980.00","106,801.00",532.00,"597,325.00"
6/23/2025,245.00,"105,856.00",26.00,"592,345.00"
6/16/2025,"10,100.00","104,080.00","1,051.00","592,100.00"
6/9/2025,"1,045.00","105,426.00",110.00,"582,000.00"
6/2/2025,705.00,"106,495.00",75.00,"580,955.00"
5/26/2025,"4,020.00","106,237.00",427.00,"580,250.00"
5/19/2025,"7,390.00","103,498.00",765.00,"576,230.00"
5/12/2025,"13,390.00","99,856.00","1,337.00","568,840.00"
5/5/2025,"1,895.00","95,167.00",180.00,"555,450.00"
4/28/2025,"15,355.00","92,737.00","1,424.00","553,555.00"
4/21/2025,"6,556.00","84,785.00",556.00,"538,200.00"
4/14/2025,"3,459.00","82,618.00",286.00,"531,644.00"
3/31/2025,"22,048.00","86,969.00","1,918.00","528,185.00"
3/24/2025,"6,911.00","84,529.00",584.00,"506,137.00"
3/17/2025,130.00,"82,981.00",11.00,"499,226.00"
2/24/2025,"20,356.00","97,514.00","1,985.00","499,096.00"
2/10/2025,"7,633.00","97,255.00",742.00,"478,740.00"
1/27/2025,"10,107.00","105,596.00","1,100.00","471,107.00"
1/21/2025,"11,000.00","101,191.00","1,100.00","461,000.00"
1/13/2025,"2,530.00","95,972.00",243.00,"450,000.00"
1/6/2025,"1,070.00","94,004.00",101.00,"447,470.00"
12/30/2024,"2,138.00","97,837.00",209.00,"446,400.00"
12/23/2024,"5,262.00","106,662.00",561.00,"444,262.00"
12/16/2024,"15,350.00","100,386.00","1,500.00","439,000.00"
12/9/2024,"21,550.00","98,783.00","2,100.00","423,650.00"
12/2/2024,"15,400.00","95,976.00","1,500.00","402,100.00"
11/25/2024,"55,500.00","97,862.00","5,400.00","386,700.00"
11/18/2024,"51,780.00","88,627.00","4,600.00","331,200.00"
11/11/2024,"27,200.00","74,463.00","2,025.00","279,420.00"
9/20/2024,"7,420.00","61,750.00",458.00,"252,220.00"
9/13/2024,"18,300.00","60,408.00","1,110.00","244,800.00"
8/1/2024,169.00,"67,455.00",11.00,"226,500.00"
6/20/2024,"11,931.00","65,883.00",786.00,"226,331.00"
4/29/2024,155.00,"63,397.00",10.00,"214,400.00"
3/19/2024,"9,245.00","67,382.00",623.00,"214,245.00"
3/11/2024,"12,000.00","68,477.00",822.00,"205,000.00"
2/26/2024,"3,000.00","51,813.00",155.00,"193,000.00"
2/6/2024,850.00,"43,723.00",37.00,"190,000.00"
12/27/2023,"14,620.00","42,110.00",616.00,"189,150.00"
11/30/2023,"16,130.00","36,785.00",593.00,"174,530.00"
11/1/2023,155.00,"34,495.00",5.00,"158,400.00"
9/25/2023,"5,445.00","27,053.00",147.00,"158,245.00"
8/1/2023,467.00,"30,788.00",14.00,"152,800.00"
6/28/2023,"12,333.00","28,136.00",347.00,"152,333.00"
4/5/2023,"1,045.00","28,016.00",29.00,"140,000.00"
3/23/2023,"6,455.00","23,238.00",150.00,"138,955.00"
12/28/2022,"2,501.00","17,847.00",45.00,"132,500.00"
9/20/2022,301.00,"19,851.00",6.00,"129,999.00"
6/29/2022,480.00,"20,817.00",10.00,"129,698.00"
4/5/2022,"4,167.00","45,714.00",190.00,"129,218.00"
2/1/2022,660.00,"37,865.00",25.00,"125,051.00"
12/30/2021,"1,914.00","49,229.00",94.00,"124,391.00"
12/9/2021,"1,434.00","57,477.00",82.00,"122,477.00"
11/29/2021,"7,002.00","59,187.00",414.00,"121,043.00"
9/13/2021,"5,050.00","48,099.00",242.00,"114,041.00"
8/24/2021,"3,907.00","45,294.00",177.00,"108,991.00"
6/21/2021,"13,005.00","37,617.00",489.00,"105,084.00"
5/18/2021,229.00,"43,663.00",10.00,"92,079.00"
5/13/2021,271.00,"55,387.00",15.00,"91,850.00"
4/5/2021,253.00,"59,339.00",15.00,"91,579.00"
3/12/2021,262.00,"57,146.00",15.00,"91,326.00"
3/5/2021,205.00,"48,888.00",10.00,"91,064.00"
3/1/2021,328.00,"45,710.00",15.00,"90,859.00"
2/19/2021,"19,452.00","52,765.00","1,023.00","90,531.00"
2/2/2021,295.00,"33,810.00",10.00,"71,079.00"
1/22/2021,314.00,"31,808.00",10.00,"70,784.00"
12/21/2020,"29,646.00","21,925.00",650.00,"70,470.00"
12/4/2020,"2,574.00","19,427.00",50.00,"40,824.00"
9/14/2020,"16,796.00","10,419.00",175.00,"38,250.00"
8/10/2020,"21,454.00","11,652.00",250.00,"21,454.00"
