,US
2010-01-01,8477.7
2010-01-02,8477.7
2010-01-03,8477.7
2010-01-04,8477.7
2010-01-05,8477.7
2010-01-06,8477.7
2010-01-07,8477.7
2010-01-08,8477.7
2010-01-09,8477.7
2010-01-10,8477.7
2010-01-11,8477.7
2010-01-12,8477.7
2010-01-13,8477.7
2010-01-14,8477.7
2010-01-15,8477.7
2010-01-16,8477.7
2010-01-17,8477.7
2010-01-18,8477.7
2010-01-19,8477.7
2010-01-20,8477.7
2010-01-21,8477.7
2010-01-22,8477.7
2010-01-23,8477.7
2010-01-24,8477.7
2010-01-25,8477.7
2010-01-26,8477.7
2010-01-27,8477.7
2010-01-28,8477.7
2010-01-29,8477.7
2010-01-30,8477.7
2010-01-31,8477.7
2010-02-01,8527.3
2010-02-02,8527.3
2010-02-03,8527.3
2010-02-04,8527.3
2010-02-05,8527.3
2010-02-06,8527.3
2010-02-07,8527.3
2010-02-08,8527.3
2010-02-09,8527.3
2010-02-10,8527.3
2010-02-11,8527.3
2010-02-12,8527.3
2010-02-13,8527.3
2010-02-14,8527.3
2010-02-15,8527.3
2010-02-16,8527.3
2010-02-17,8527.3
2010-02-18,8527.3
2010-02-19,8527.3
2010-02-20,8527.3
2010-02-21,8527.3
2010-02-22,8527.3
2010-02-23,8527.3
2010-02-24,8527.3
2010-02-25,8527.3
2010-02-26,8527.3
2010-02-27,8527.3
2010-02-28,8527.3
2010-03-01,8523.5
2010-03-02,8523.5
2010-03-03,8523.5
2010-03-04,8523.5
2010-03-05,8523.5
2010-03-06,8523.5
2010-03-07,8523.5
2010-03-08,8523.5
2010-03-09,8523.5
2010-03-10,8523.5
2010-03-11,8523.5
2010-03-12,8523.5
2010-03-13,8523.5
2010-03-14,8523.5
2010-03-15,8523.5
2010-03-16,8523.5
2010-03-17,8523.5
2010-03-18,8523.5
2010-03-19,8523.5
2010-03-20,8523.5
2010-03-21,8523.5
2010-03-22,8523.5
2010-03-23,8523.5
2010-03-24,8523.5
2010-03-25,8523.5
2010-03-26,8523.5
2010-03-27,8523.5
2010-03-28,8523.5
2010-03-29,8523.5
2010-03-30,8523.5
2010-03-31,8523.5
2010-04-01,8554.8
2010-04-02,8554.8
2010-04-03,8554.8
2010-04-04,8554.8
2010-04-05,8554.8
2010-04-06,8554.8
2010-04-07,8554.8
2010-04-08,8554.8
2010-04-09,8554.8
2010-04-10,8554.8
2010-04-11,8554.8
2010-04-12,8554.8
2010-04-13,8554.8
2010-04-14,8554.8
2010-04-15,8554.8
2010-04-16,8554.8
2010-04-17,8554.8
2010-04-18,8554.8
2010-04-19,8554.8
2010-04-20,8554.8
2010-04-21,8554.8
2010-04-22,8554.8
2010-04-23,8554.8
2010-04-24,8554.8
2010-04-25,8554.8
2010-04-26,8554.8
2010-04-27,8554.8
2010-04-28,8554.8
2010-04-29,8554.8
2010-04-30,8554.8
2010-05-01,8609.0
2010-05-02,8609.0
2010-05-03,8609.0
2010-05-04,8609.0
2010-05-05,8609.0
2010-05-06,8609.0
2010-05-07,8609.0
2010-05-08,8609.0
2010-05-09,8609.0
2010-05-10,8609.0
2010-05-11,8609.0
2010-05-12,8609.0
2010-05-13,8609.0
2010-05-14,8609.0
2010-05-15,8609.0
2010-05-16,8609.0
2010-05-17,8609.0
2010-05-18,8609.0
2010-05-19,8609.0
2010-05-20,8609.0
2010-05-21,8609.0
2010-05-22,8609.0
2010-05-23,8609.0
2010-05-24,8609.0
2010-05-25,8609.0
2010-05-26,8609.0
2010-05-27,8609.0
2010-05-28,8609.0
2010-05-29,8609.0
2010-05-30,8609.0
2010-05-31,8609.0
2010-06-01,8628.1
2010-06-02,8628.1
2010-06-03,8628.1
2010-06-04,8628.1
2010-06-05,8628.1
2010-06-06,8628.1
2010-06-07,8628.1
2010-06-08,8628.1
2010-06-09,8628.1
2010-06-10,8628.1
2010-06-11,8628.1
2010-06-12,8628.1
2010-06-13,8628.1
2010-06-14,8628.1
2010-06-15,8628.1
2010-06-16,8628.1
2010-06-17,8628.1
2010-06-18,8628.1
2010-06-19,8628.1
2010-06-20,8628.1
2010-06-21,8628.1
2010-06-22,8628.1
2010-06-23,8628.1
2010-06-24,8628.1
2010-06-25,8628.1
2010-06-26,8628.1
2010-06-27,8628.1
2010-06-28,8628.1
2010-06-29,8628.1
2010-06-30,8628.1
2010-07-01,8639.5
2010-07-02,8639.5
2010-07-03,8639.5
2010-07-04,8639.5
2010-07-05,8639.5
2010-07-06,8639.5
2010-07-07,8639.5
2010-07-08,8639.5
2010-07-09,8639.5
2010-07-10,8639.5
2010-07-11,8639.5
2010-07-12,8639.5
2010-07-13,8639.5
2010-07-14,8639.5
2010-07-15,8639.5
2010-07-16,8639.5
2010-07-17,8639.5
2010-07-18,8639.5
2010-07-19,8639.5
2010-07-20,8639.5
2010-07-21,8639.5
2010-07-22,8639.5
2010-07-23,8639.5
2010-07-24,8639.5
2010-07-25,8639.5
2010-07-26,8639.5
2010-07-27,8639.5
2010-07-28,8639.5
2010-07-29,8639.5
2010-07-30,8639.5
2010-07-31,8639.5
2010-08-01,8687.9
2010-08-02,8687.9
2010-08-03,8687.9
2010-08-04,8687.9
2010-08-05,8687.9
2010-08-06,8687.9
2010-08-07,8687.9
2010-08-08,8687.9
2010-08-09,8687.9
2010-08-10,8687.9
2010-08-11,8687.9
2010-08-12,8687.9
2010-08-13,8687.9
2010-08-14,8687.9
2010-08-15,8687.9
2010-08-16,8687.9
2010-08-17,8687.9
2010-08-18,8687.9
2010-08-19,8687.9
2010-08-20,8687.9
2010-08-21,8687.9
2010-08-22,8687.9
2010-08-23,8687.9
2010-08-24,8687.9
2010-08-25,8687.9
2010-08-26,8687.9
2010-08-27,8687.9
2010-08-28,8687.9
2010-08-29,8687.9
2010-08-30,8687.9
2010-08-31,8687.9
2010-09-01,8718.7
2010-09-02,8718.7
2010-09-03,8718.7
2010-09-04,8718.7
2010-09-05,8718.7
2010-09-06,8718.7
2010-09-07,8718.7
2010-09-08,8718.7
2010-09-09,8718.7
2010-09-10,8718.7
2010-09-11,8718.7
2010-09-12,8718.7
2010-09-13,8718.7
2010-09-14,8718.7
2010-09-15,8718.7
2010-09-16,8718.7
2010-09-17,8718.7
2010-09-18,8718.7
2010-09-19,8718.7
2010-09-20,8718.7
2010-09-21,8718.7
2010-09-22,8718.7
2010-09-23,8718.7
2010-09-24,8718.7
2010-09-25,8718.7
2010-09-26,8718.7
2010-09-27,8718.7
2010-09-28,8718.7
2010-09-29,8718.7
2010-09-30,8718.7
2010-10-01,8768.4
2010-10-02,8768.4
2010-10-03,8768.4
2010-10-04,8768.4
2010-10-05,8768.4
2010-10-06,8768.4
2010-10-07,8768.4
2010-10-08,8768.4
2010-10-09,8768.4
2010-10-10,8768.4
2010-10-11,8768.4
2010-10-12,8768.4
2010-10-13,8768.4
2010-10-14,8768.4
2010-10-15,8768.4
2010-10-16,8768.4
2010-10-17,8768.4
2010-10-18,8768.4
2010-10-19,8768.4
2010-10-20,8768.4
2010-10-21,8768.4
2010-10-22,8768.4
2010-10-23,8768.4
2010-10-24,8768.4
2010-10-25,8768.4
2010-10-26,8768.4
2010-10-27,8768.4
2010-10-28,8768.4
2010-10-29,8768.4
2010-10-30,8768.4
2010-10-31,8768.4
2010-11-01,8789.0
2010-11-02,8789.0
2010-11-03,8789.0
2010-11-04,8789.0
2010-11-05,8789.0
2010-11-06,8789.0
2010-11-07,8789.0
2010-11-08,8789.0
2010-11-09,8789.0
2010-11-10,8789.0
2010-11-11,8789.0
2010-11-12,8789.0
2010-11-13,8789.0
2010-11-14,8789.0
2010-11-15,8789.0
2010-11-16,8789.0
2010-11-17,8789.0
2010-11-18,8789.0
2010-11-19,8789.0
2010-11-20,8789.0
2010-11-21,8789.0
2010-11-22,8789.0
2010-11-23,8789.0
2010-11-24,8789.0
2010-11-25,8789.0
2010-11-26,8789.0
2010-11-27,8789.0
2010-11-28,8789.0
2010-11-29,8789.0
2010-11-30,8789.0
2010-12-01,8823.2
2010-12-02,8823.2
2010-12-03,8823.2
2010-12-04,8823.2
2010-12-05,8823.2
2010-12-06,8823.2
2010-12-07,8823.2
2010-12-08,8823.2
2010-12-09,8823.2
2010-12-10,8823.2
2010-12-11,8823.2
2010-12-12,8823.2
2010-12-13,8823.2
2010-12-14,8823.2
2010-12-15,8823.2
2010-12-16,8823.2
2010-12-17,8823.2
2010-12-18,8823.2
2010-12-19,8823.2
2010-12-20,8823.2
2010-12-21,8823.2
2010-12-22,8823.2
2010-12-23,8823.2
2010-12-24,8823.2
2010-12-25,8823.2
2010-12-26,8823.2
2010-12-27,8823.2
2010-12-28,8823.2
2010-12-29,8823.2
2010-12-30,8823.2
2010-12-31,8823.2
2011-01-01,8849.0
2011-01-02,8849.0
2011-01-03,8849.0
2011-01-04,8849.0
2011-01-05,8849.0
2011-01-06,8849.0
2011-01-07,8849.0
2011-01-08,8849.0
2011-01-09,8849.0
2011-01-10,8849.0
2011-01-11,8849.0
2011-01-12,8849.0
2011-01-13,8849.0
2011-01-14,8849.0
2011-01-15,8849.0
2011-01-16,8849.0
2011-01-17,8849.0
2011-01-18,8849.0
2011-01-19,8849.0
2011-01-20,8849.0
2011-01-21,8849.0
2011-01-22,8849.0
2011-01-23,8849.0
2011-01-24,8849.0
2011-01-25,8849.0
2011-01-26,8849.0
2011-01-27,8849.0
2011-01-28,8849.0
2011-01-29,8849.0
2011-01-30,8849.0
2011-01-31,8849.0
2011-02-01,8913.3
2011-02-02,8913.3
2011-02-03,8913.3
2011-02-04,8913.3
2011-02-05,8913.3
2011-02-06,8913.3
2011-02-07,8913.3
2011-02-08,8913.3
2011-02-09,8913.3
2011-02-10,8913.3
2011-02-11,8913.3
2011-02-12,8913.3
2011-02-13,8913.3
2011-02-14,8913.3
2011-02-15,8913.3
2011-02-16,8913.3
2011-02-17,8913.3
2011-02-18,8913.3
2011-02-19,8913.3
2011-02-20,8913.3
2011-02-21,8913.3
2011-02-22,8913.3
2011-02-23,8913.3
2011-02-24,8913.3
2011-02-25,8913.3
2011-02-26,8913.3
2011-02-27,8913.3
2011-02-28,8913.3
2011-03-01,8971.5
2011-03-02,8971.5
2011-03-03,8971.5
2011-03-04,8971.5
2011-03-05,8971.5
2011-03-06,8971.5
2011-03-07,8971.5
2011-03-08,8971.5
2011-03-09,8971.5
2011-03-10,8971.5
2011-03-11,8971.5
2011-03-12,8971.5
2011-03-13,8971.5
2011-03-14,8971.5
2011-03-15,8971.5
2011-03-16,8971.5
2011-03-17,8971.5
2011-03-18,8971.5
2011-03-19,8971.5
2011-03-20,8971.5
2011-03-21,8971.5
2011-03-22,8971.5
2011-03-23,8971.5
2011-03-24,8971.5
2011-03-25,8971.5
2011-03-26,8971.5
2011-03-27,8971.5
2011-03-28,8971.5
2011-03-29,8971.5
2011-03-30,8971.5
2011-03-31,8971.5
2011-04-01,9035.1
2011-04-02,9035.1
2011-04-03,9035.1
2011-04-04,9035.1
2011-04-05,9035.1
2011-04-06,9035.1
2011-04-07,9035.1
2011-04-08,9035.1
2011-04-09,9035.1
2011-04-10,9035.1
2011-04-11,9035.1
2011-04-12,9035.1
2011-04-13,9035.1
2011-04-14,9035.1
2011-04-15,9035.1
2011-04-16,9035.1
2011-04-17,9035.1
2011-04-18,9035.1
2011-04-19,9035.1
2011-04-20,9035.1
2011-04-21,9035.1
2011-04-22,9035.1
2011-04-23,9035.1
2011-04-24,9035.1
2011-04-25,9035.1
2011-04-26,9035.1
2011-04-27,9035.1
2011-04-28,9035.1
2011-04-29,9035.1
2011-04-30,9035.1
2011-05-01,9107.8
2011-05-02,9107.8
2011-05-03,9107.8
2011-05-04,9107.8
2011-05-05,9107.8
2011-05-06,9107.8
2011-05-07,9107.8
2011-05-08,9107.8
2011-05-09,9107.8
2011-05-10,9107.8
2011-05-11,9107.8
2011-05-12,9107.8
2011-05-13,9107.8
2011-05-14,9107.8
2011-05-15,9107.8
2011-05-16,9107.8
2011-05-17,9107.8
2011-05-18,9107.8
2011-05-19,9107.8
2011-05-20,9107.8
2011-05-21,9107.8
2011-05-22,9107.8
2011-05-23,9107.8
2011-05-24,9107.8
2011-05-25,9107.8
2011-05-26,9107.8
2011-05-27,9107.8
2011-05-28,9107.8
2011-05-29,9107.8
2011-05-30,9107.8
2011-05-31,9107.8
2011-06-01,9182.1
2011-06-02,9182.1
2011-06-03,9182.1
2011-06-04,9182.1
2011-06-05,9182.1
2011-06-06,9182.1
2011-06-07,9182.1
2011-06-08,9182.1
2011-06-09,9182.1
2011-06-10,9182.1
2011-06-11,9182.1
2011-06-12,9182.1
2011-06-13,9182.1
2011-06-14,9182.1
2011-06-15,9182.1
2011-06-16,9182.1
2011-06-17,9182.1
2011-06-18,9182.1
2011-06-19,9182.1
2011-06-20,9182.1
2011-06-21,9182.1
2011-06-22,9182.1
2011-06-23,9182.1
2011-06-24,9182.1
2011-06-25,9182.1
2011-06-26,9182.1
2011-06-27,9182.1
2011-06-28,9182.1
2011-06-29,9182.1
2011-06-30,9182.1
2011-07-01,9344.2
2011-07-02,9344.2
2011-07-03,9344.2
2011-07-04,9344.2
2011-07-05,9344.2
2011-07-06,9344.2
2011-07-07,9344.2
2011-07-08,9344.2
2011-07-09,9344.2
2011-07-10,9344.2
2011-07-11,9344.2
2011-07-12,9344.2
2011-07-13,9344.2
2011-07-14,9344.2
2011-07-15,9344.2
2011-07-16,9344.2
2011-07-17,9344.2
2011-07-18,9344.2
2011-07-19,9344.2
2011-07-20,9344.2
2011-07-21,9344.2
2011-07-22,9344.2
2011-07-23,9344.2
2011-07-24,9344.2
2011-07-25,9344.2
2011-07-26,9344.2
2011-07-27,9344.2
2011-07-28,9344.2
2011-07-29,9344.2
2011-07-30,9344.2
2011-07-31,9344.2
2011-08-01,9531.0
2011-08-02,9531.0
2011-08-03,9531.0
2011-08-04,9531.0
2011-08-05,9531.0
2011-08-06,9531.0
2011-08-07,9531.0
2011-08-08,9531.0
2011-08-09,9531.0
2011-08-10,9531.0
2011-08-11,9531.0
2011-08-12,9531.0
2011-08-13,9531.0
2011-08-14,9531.0
2011-08-15,9531.0
2011-08-16,9531.0
2011-08-17,9531.0
2011-08-18,9531.0
2011-08-19,9531.0
2011-08-20,9531.0
2011-08-21,9531.0
2011-08-22,9531.0
2011-08-23,9531.0
2011-08-24,9531.0
2011-08-25,9531.0
2011-08-26,9531.0
2011-08-27,9531.0
2011-08-28,9531.0
2011-08-29,9531.0
2011-08-30,9531.0
2011-08-31,9531.0
2011-09-01,9551.5
2011-09-02,9551.5
2011-09-03,9551.5
2011-09-04,9551.5
2011-09-05,9551.5
2011-09-06,9551.5
2011-09-07,9551.5
2011-09-08,9551.5
2011-09-09,9551.5
2011-09-10,9551.5
2011-09-11,9551.5
2011-09-12,9551.5
2011-09-13,9551.5
2011-09-14,9551.5
2011-09-15,9551.5
2011-09-16,9551.5
2011-09-17,9551.5
2011-09-18,9551.5
2011-09-19,9551.5
2011-09-20,9551.5
2011-09-21,9551.5
2011-09-22,9551.5
2011-09-23,9551.5
2011-09-24,9551.5
2011-09-25,9551.5
2011-09-26,9551.5
2011-09-27,9551.5
2011-09-28,9551.5
2011-09-29,9551.5
2011-09-30,9551.5
2011-10-01,9584.4
2011-10-02,9584.4
2011-10-03,9584.4
2011-10-04,9584.4
2011-10-05,9584.4
2011-10-06,9584.4
2011-10-07,9584.4
2011-10-08,9584.4
2011-10-09,9584.4
2011-10-10,9584.4
2011-10-11,9584.4
2011-10-12,9584.4
2011-10-13,9584.4
2011-10-14,9584.4
2011-10-15,9584.4
2011-10-16,9584.4
2011-10-17,9584.4
2011-10-18,9584.4
2011-10-19,9584.4
2011-10-20,9584.4
2011-10-21,9584.4
2011-10-22,9584.4
2011-10-23,9584.4
2011-10-24,9584.4
2011-10-25,9584.4
2011-10-26,9584.4
2011-10-27,9584.4
2011-10-28,9584.4
2011-10-29,9584.4
2011-10-30,9584.4
2011-10-31,9584.4
2011-11-01,9636.5
2011-11-02,9636.5
2011-11-03,9636.5
2011-11-04,9636.5
2011-11-05,9636.5
2011-11-06,9636.5
2011-11-07,9636.5
2011-11-08,9636.5
2011-11-09,9636.5
2011-11-10,9636.5
2011-11-11,9636.5
2011-11-12,9636.5
2011-11-13,9636.5
2011-11-14,9636.5
2011-11-15,9636.5
2011-11-16,9636.5
2011-11-17,9636.5
2011-11-18,9636.5
2011-11-19,9636.5
2011-11-20,9636.5
2011-11-21,9636.5
2011-11-22,9636.5
2011-11-23,9636.5
2011-11-24,9636.5
2011-11-25,9636.5
2011-11-26,9636.5
2011-11-27,9636.5
2011-11-28,9636.5
2011-11-29,9636.5
2011-11-30,9636.5
2011-12-01,9683.9
2011-12-02,9683.9
2011-12-03,9683.9
2011-12-04,9683.9
2011-12-05,9683.9
2011-12-06,9683.9
2011-12-07,9683.9
2011-12-08,9683.9
2011-12-09,9683.9
2011-12-10,9683.9
2011-12-11,9683.9
2011-12-12,9683.9
2011-12-13,9683.9
2011-12-14,9683.9
2011-12-15,9683.9
2011-12-16,9683.9
2011-12-17,9683.9
2011-12-18,9683.9
2011-12-19,9683.9
2011-12-20,9683.9
2011-12-21,9683.9
2011-12-22,9683.9
2011-12-23,9683.9
2011-12-24,9683.9
2011-12-25,9683.9
2011-12-26,9683.9
2011-12-27,9683.9
2011-12-28,9683.9
2011-12-29,9683.9
2011-12-30,9683.9
2011-12-31,9683.9
2012-01-01,9757.6
2012-01-02,9757.6
2012-01-03,9757.6
2012-01-04,9757.6
2012-01-05,9757.6
2012-01-06,9757.6
2012-01-07,9757.6
2012-01-08,9757.6
2012-01-09,9757.6
2012-01-10,9757.6
2012-01-11,9757.6
2012-01-12,9757.6
2012-01-13,9757.6
2012-01-14,9757.6
2012-01-15,9757.6
2012-01-16,9757.6
2012-01-17,9757.6
2012-01-18,9757.6
2012-01-19,9757.6
2012-01-20,9757.6
2012-01-21,9757.6
2012-01-22,9757.6
2012-01-23,9757.6
2012-01-24,9757.6
2012-01-25,9757.6
2012-01-26,9757.6
2012-01-27,9757.6
2012-01-28,9757.6
2012-01-29,9757.6
2012-01-30,9757.6
2012-01-31,9757.6
2012-02-01,9809.8
2012-02-02,9809.8
2012-02-03,9809.8
2012-02-04,9809.8
2012-02-05,9809.8
2012-02-06,9809.8
2012-02-07,9809.8
2012-02-08,9809.8
2012-02-09,9809.8
2012-02-10,9809.8
2012-02-11,9809.8
2012-02-12,9809.8
2012-02-13,9809.8
2012-02-14,9809.8
2012-02-15,9809.8
2012-02-16,9809.8
2012-02-17,9809.8
2012-02-18,9809.8
2012-02-19,9809.8
2012-02-20,9809.8
2012-02-21,9809.8
2012-02-22,9809.8
2012-02-23,9809.8
2012-02-24,9809.8
2012-02-25,9809.8
2012-02-26,9809.8
2012-02-27,9809.8
2012-02-28,9809.8
2012-02-29,9809.8
2012-03-01,9853.9
2012-03-02,9853.9
2012-03-03,9853.9
2012-03-04,9853.9
2012-03-05,9853.9
2012-03-06,9853.9
2012-03-07,9853.9
2012-03-08,9853.9
2012-03-09,9853.9
2012-03-10,9853.9
2012-03-11,9853.9
2012-03-12,9853.9
2012-03-13,9853.9
2012-03-14,9853.9
2012-03-15,9853.9
2012-03-16,9853.9
2012-03-17,9853.9
2012-03-18,9853.9
2012-03-19,9853.9
2012-03-20,9853.9
2012-03-21,9853.9
2012-03-22,9853.9
2012-03-23,9853.9
2012-03-24,9853.9
2012-03-25,9853.9
2012-03-26,9853.9
2012-03-27,9853.9
2012-03-28,9853.9
2012-03-29,9853.9
2012-03-30,9853.9
2012-03-31,9853.9
2012-04-01,9907.7
2012-04-02,9907.7
2012-04-03,9907.7
2012-04-04,9907.7
2012-04-05,9907.7
2012-04-06,9907.7
2012-04-07,9907.7
2012-04-08,9907.7
2012-04-09,9907.7
2012-04-10,9907.7
2012-04-11,9907.7
2012-04-12,9907.7
2012-04-13,9907.7
2012-04-14,9907.7
2012-04-15,9907.7
2012-04-16,9907.7
2012-04-17,9907.7
2012-04-18,9907.7
2012-04-19,9907.7
2012-04-20,9907.7
2012-04-21,9907.7
2012-04-22,9907.7
2012-04-23,9907.7
2012-04-24,9907.7
2012-04-25,9907.7
2012-04-26,9907.7
2012-04-27,9907.7
2012-04-28,9907.7
2012-04-29,9907.7
2012-04-30,9907.7
2012-05-01,9951.4
2012-05-02,9951.4
2012-05-03,9951.4
2012-05-04,9951.4
2012-05-05,9951.4
2012-05-06,9951.4
2012-05-07,9951.4
2012-05-08,9951.4
2012-05-09,9951.4
2012-05-10,9951.4
2012-05-11,9951.4
2012-05-12,9951.4
2012-05-13,9951.4
2012-05-14,9951.4
2012-05-15,9951.4
2012-05-16,9951.4
2012-05-17,9951.4
2012-05-18,9951.4
2012-05-19,9951.4
2012-05-20,9951.4
2012-05-21,9951.4
2012-05-22,9951.4
2012-05-23,9951.4
2012-05-24,9951.4
2012-05-25,9951.4
2012-05-26,9951.4
2012-05-27,9951.4
2012-05-28,9951.4
2012-05-29,9951.4
2012-05-30,9951.4
2012-05-31,9951.4
2012-06-01,10021.6
2012-06-02,10021.6
2012-06-03,10021.6
2012-06-04,10021.6
2012-06-05,10021.6
2012-06-06,10021.6
2012-06-07,10021.6
2012-06-08,10021.6
2012-06-09,10021.6
2012-06-10,10021.6
2012-06-11,10021.6
2012-06-12,10021.6
2012-06-13,10021.6
2012-06-14,10021.6
2012-06-15,10021.6
2012-06-16,10021.6
2012-06-17,10021.6
2012-06-18,10021.6
2012-06-19,10021.6
2012-06-20,10021.6
2012-06-21,10021.6
2012-06-22,10021.6
2012-06-23,10021.6
2012-06-24,10021.6
2012-06-25,10021.6
2012-06-26,10021.6
2012-06-27,10021.6
2012-06-28,10021.6
2012-06-29,10021.6
2012-06-30,10021.6
2012-07-01,10074.5
2012-07-02,10074.5
2012-07-03,10074.5
2012-07-04,10074.5
2012-07-05,10074.5
2012-07-06,10074.5
2012-07-07,10074.5
2012-07-08,10074.5
2012-07-09,10074.5
2012-07-10,10074.5
2012-07-11,10074.5
2012-07-12,10074.5
2012-07-13,10074.5
2012-07-14,10074.5
2012-07-15,10074.5
2012-07-16,10074.5
2012-07-17,10074.5
2012-07-18,10074.5
2012-07-19,10074.5
2012-07-20,10074.5
2012-07-21,10074.5
2012-07-22,10074.5
2012-07-23,10074.5
2012-07-24,10074.5
2012-07-25,10074.5
2012-07-26,10074.5
2012-07-27,10074.5
2012-07-28,10074.5
2012-07-29,10074.5
2012-07-30,10074.5
2012-07-31,10074.5
2012-08-01,10145.6
2012-08-02,10145.6
2012-08-03,10145.6
2012-08-04,10145.6
2012-08-05,10145.6
2012-08-06,10145.6
2012-08-07,10145.6
2012-08-08,10145.6
2012-08-09,10145.6
2012-08-10,10145.6
2012-08-11,10145.6
2012-08-12,10145.6
2012-08-13,10145.6
2012-08-14,10145.6
